Januray,12,,,,,,,,,,,,,,,,,,,,,,,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease,
,,,,,,,,,,,,,,,,,,,,,,,,,,1005389,787685,,0,8544966,27063,490032,417575,,,,0,8544966,27063
,,,,,,,,,,,,,,,,,,,,,,,,,,1001616,785282,,0,8517903,38378,487423,414144,,,,0,8517903,38378
,,,,,,,,,,,,,,,,,,,,,,,,,,995996,782006,,0,8479525,79056,481608,410844,,,,0,8479525,79056
,,,,,,,,,,,,,,,,,,,,,,,,,,987286,776580,,0,8400469,81689,480444,402315,,,,0,8400469,81689
,,,,,,,,,,,,,,,,,,,,,,,,,,978542,772350,,0,8318780,80804,476253,392149,,,,0,8318780,80804
,,,,,,,,,,,,,,,,,,,,,,,,,,970102,767905,,0,8237976,87362,473079,384461,,,,0,8237976,87362
,,,,,,,,,,,,,,,,,,,,,,,,,,962580,763108,,0,8150614,87326,470883,375346,,,,0,8150614,87326
,,,,,,,,,,,,,,,,,,,,,,,,,,953479,758192,,0,8063288,26595,468501,365010,,,,0,8063288,26595
,,,,,,,,,,,,,,,,,,,,,,,,,,949518,755095,,0,8036693,37153,466962,362005,,,,0,8036693,37153
,,,,,,,,,,,,,,,,,,,,,,,,,,944643,753611,,0,7999540,69457,465309,358918,,,,0,7999540,69457
,,,,,,,,,,,,,,,,,,,,,,,,,,937845,748252,,0,7930083,78756,462309,351741,,,,0,7930083,78756
,,,,,,,,,,,,,,,,,,,,,,,,,,929657,744283,,0,7851327,81418,459439,342539,,,,0,7851327,81418
,,,,,,,,,,,,,,,,,,,,,,,,,,920980,739140,,0,7769909,82859,457228,333932,,,,0,7769909,82859
,,,,,,,,,,,,,,,,,,,,,,,,,,913649,733758,,0,7687050,83889,455327,323967,,,,0,7687050,83889
,,,,,,,,,,,,,,,,,,,,,,,,,,905339,729762,,0,7603161,23929,452388,313129,,,,0,7603161,23929
,,,,,,,,,,,,,,,,,,,,,,,,,,902376,726231,,0,7579232,32359,450891,310816,,,,0,7579232,32359
,,,,,,,,,,,,,,,,,,,,,,,,,,898621,723204,,0,7546873,65988,449341,308431,,,,0,7546873,65988
,,,,,,,,,,,,,,,,,,,,,,,,,,892654,719478,,0,7480885,68382,447010,302744,,,,0,7480885,68382
,,,,,,,,,,,,,,,,,,,,,,,,,,886489,716015,,0,7412503,70382,444135,295383,,,,0,7412503,70382
